EPG_Map_No,Channel_Name,Logo_Url,HD,Genre
73,History,https://static.sky.co.nz/sky/epglogos/logo_073_80x60.png,,News & Documentaries
74,BBC Earth,https://static.sky.co.nz/sky/epglogos/MK_BBCEarth_LogoThumbnail_80x60.jpg,,News & Documentaries
75,Discovery Turbo,https://static.sky.co.nz/sky/epglogos/MK_DiscoveryTurbo_LogoThumbnail_80x60.jpg,,News & Documentaries
76,Animal Planet,https://static.sky.co.nz/sky/epglogos/MK_AnimalPlanetUpdate_Thumbnail_80x60.png,,News & Documentaries
81,Country TV,https://static.sky.co.nz/sky/epglogos/logo_081_250x180.png,,Special Interest
82,Te Reo,https://static.sky.co.nz/sky/epglogos/Te_Reo.png,,Entertainment
83,FACE TV,https://static.sky.co.nz/sky/epglogos/MK_FaceTV_LogoThumbnail_80x60.jpg,,Entertainment
85,SKY NEWS,https://static.sky.co.nz/sky/epglogos/MK_SKYNews_LogoThumb_v2_80x60px.png,,News & Documentaries
86,Parliament TV,https://static.sky.co.nz/sky/epglogos/parliament-tv-thumb.png,true,News & Documentaries
87,CNN International,https://static.sky.co.nz/sky/epglogos/CNN_Logo_80x60.jpg,,News & Documentaries
88,Fox News,https://static.sky.co.nz/sky/epglogos/Fox_News_Channel.png,,News & Documentaries
89,BBC World News,https://static.sky.co.nz/sky/epglogos/BBCWorldNews_Logo_80x60.png,,News & Documentaries
90,Al Jazeera,https://static.sky.co.nz/sky/epglogos/Al_Jazeera.png,,News & Documentaries
91,CNBC,https://static.sky.co.nz/sky/epglogos/CNBC.png,,News & Documentaries
92,RT,https://static.sky.co.nz/sky/epglogos/RT.png,,News & Documentaries
100,Nick Music,https://static.sky.co.nz/sky/epglogos/MK_Logo_NickMusic_80x60.png,,Kids & Family
101,Nick,https://static.sky.co.nz/sky/epglogos/MK_Nick_LogoThumbnail_80x60.png,,Kids & Family
102,Cartoon Network,https://static.sky.co.nz/sky/epglogos/MK_CartoonNetwork_LogoThumbnail_80x60.jpg,,Kids & Family
103,CBeebies,https://static.sky.co.nz/sky/epglogos/CBeebies_logo_80x60.png,,Kids & Family
104,nick jr.,https://static.sky.co.nz/sky/epglogos/Nick_Jr.png,,Kids & Family
150,Star Plus Hindi,https://static.sky.co.nz/sky/epglogos/logo_150_250x180.png,,Special Interest
151,Colors,https://static.sky.co.nz/sky/epglogos/logo_151_250x180.png,,Special Interest
152,Star Gold,https://static.sky.co.nz/sky/epglogos/logo_152_250x180.png,,Special Interest
160,The Filipino Channel,https://static.sky.co.nz/sky/epglogos/0111_80x60.png,,Special Interest
201,Shine TV,https://static.sky.co.nz/sky/epglogos/MK_ShineTV_LogoThumbnail_80x60.jpg,,Special Interest
202,Daystar TV Network,https://static.sky.co.nz/sky/epglogos/Daystar.png,,Entertainment
203,SBN,https://static.sky.co.nz/sky/epglogos/MK_SBN_LogoThumbnail_80x60.jpg,,Special Interest
204,Hope Channel,https://static.sky.co.nz/sky/epglogos/MK_HopeChannel_Logo_80x60.png,,Special Interest
206,Firstlight,https://static.sky.co.nz/sky/epglogos/MK_Firstlight_LogoThumb_250x180.jpg,,Special Interest
309,CGTN,https://static.sky.co.nz/sky/epglogos/MK_CGTNDoc_LogoThumbnail_80x60.png,,Special Interest
310,CGTN,https://static.sky.co.nz/sky/epglogos/MK_CGTNnew_LogoThumbnail_80x60.png,,News & Documentaries
501,One Plus 1,https://static.sky.co.nz/sky/epglogos/TV1_plus_1.png,,Entertainment
502,TV2 + 1,https://static.sky.co.nz/sky/epglogos/TV2_plus_1.png,,Entertainment
503,ThreePlus1,https://static.sky.co.nz/sky/epglogos/MK_ThreePlus1_LogoThumbnail_80x60.png,,Entertainment
504,DukePlus1,https://static.sky.co.nz/sky/epglogos/MK_DUKEPlus1_Logo.png,,Entertainment
505,eden +1,https://static.sky.co.nz/sky/epglogos/EdenPlus1Red.png,,Entertainment
512,BRAVO Plus 1,https://static.sky.co.nz/sky/epglogos/MK_Bravo_plus1_Thumbnail_Logo_80x60.png,,Entertainment
514,Prime PLUS 1,https://static.sky.co.nz/sky/epglogos/MK_PrimePlus1_LogoThumbnail_80x60.png,,Entertainment
